Provinsi,Kematian anak,export,Kesehatan,import,AHH,TFR,gdpp
ACEH,3.47,300.4,16813,25.8,69.93,2.42,31633
SUMATERA UTARA,3.1,7861.8,18023,3979.9,73,2.48,54979
SUMATERA BARAT,2.84,1632.3,11430,186.4,69.47,2.46,43826
RIAU,2.55,13763.8,22434,1318,71.6,2.28,114167
JAMBI,2.99,1776.6,9779,65.2,71.16,2.28,57958
SUMATERA SELATAN,2.84,3602.4,14620,938.7,69.88,2.23,53843
BENGKULU,3.65,153.7,2184,3.3,69.42,2.3,36552
LAMPUNG,2.61,3144.8,10821,1314.5,73.66,2.28,39290
KEP. BANGKA BELITUNG,2.92,1291.2,2150,14.6,70.64,2.24,52023
KEP. RIAU,2.12,11170.4,2504,11263.6,69.96,2.21,123465
DKI JAKARTA,1.64,9845.8,34738,72037.2,72.91,1.75,262615
JAWA BARAT,2.35,26600.3,26380,2001.5,73.04,2.11,43237
JAWA TENGAH,2.04,8088.3,25843,8719.8,74.37,2.09,36965
DI YOGYAKARTA,1.72,398.8,3915,17.1,74.99,1.89,37694
JAWA TIMUR,2.16,20904.9,25176,19985.7,71.3,1.98,56641
BANTEN,2.32,10685.7,9089,9608.8,69.96,2.01,52729
BALI,2.11,456.2,35990,76,72.13,2.04,52015
NUSA TENGGARA BARAT,4.73,643.5,5230,265.2,66.51,2.43,25184
NUSA TENGGARA TIMUR,5.05,44.2,5113,34.6,67.01,2.79,20057
KALIMANTAN BARAT,2.97,1977.3,15357,439.8,70.69,2.33,39622
KALIMANTAN TENGAH,3.24,1824.4,9574,32.9,69.74,2.31,57145
KALIMANTAN SELATAN,2.87,5341.3,21079,522,68.66,2.31,44101
KALIMANTAN TIMUR,2.53,13100.8,19246,1960.3,74.33,2.18,161799
KALIMANTAN UTARA,2.78,1018.3,3612,84.6,72.59,2.35,143533
SULAWESI UTARA,3.17,779,8597,148.2,71.69,2.1,50521
SULAWESI TENGAH,5.72,7480.6,12060,2384.9,68.69,2.32,66306
SULAWESI SELATAN,3.29,1473.9,15364,800.2,70.57,2.22,55675
SULAWESI TENGGARA,4.64,2397.3,9825,1494.4,71.22,2.57,49718
GORONTALO,6.39,32.9,2933,39.4,68.07,2.3,35693
SULAWESI BARAT,6.28,503,10358,0.7,65.06,2.58,32837
MALUKU,6.72,87.9,5746,101.5,65.98,2.52,25094
MALUKU UTARA,5.98,1038.5,7164,1437.8,68.33,2.47,33069
PAPUA BARAT,10.17,1795.9,11104,66.5,66.02,2.66,73933
PAPUA,10.88,1975.7,6130,199.7,65.79,2.76,46416
